"""Pay with Amazon"" button color","""Bezahlen mit Amazon""-Button Farbe"
"""Pay with Amazon"" button size","""Bezahlen mit Amazon""-Button Größe"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Erweiterungen</div>"
"Access Key ID","Access Key ID"
"Allowed IPs (comma separated)","Erlaubte IPs (Kommagetrennt)"
"<strong>Amazon Payments</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","Mit <strong>Amazon Payments</strong> können Sie die in Ihrem Amazon-Account hinterlegten Zahlungs- und Versandinformationen nutzen, um schnell und sicher einzukaufen. Zudem genießen Sie den Käuferschutz, den Amazon mit der A-bis-z-Garantie bietet."
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Autorisierung über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"An authorize request for %s has been submitted to Amazon Payments.","Eine Autorisierung über %s wurde an Amazon Payments geschickt."
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Belastung (Capture) über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"A capture request for %s has been submitted to Amazon Payments.","Eine Belastung (Capture) über %s wurde an Amazon Payments geschickt."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Bestellung über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"An order of %s has been sent to Amazon Payments.","Eine Bestellung über %s wurde an Amazon Payments geschickt."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","Eine Rückerstattung (Refund) über %s wurde von Amazon Payments bearbeitet (%s). Der neue Status ist %s."
"A refund request for %s has been submitted to Amazon Payments.","Eine Rückerstattung (Refund) über %s wurde an Amazon Payments geschickt."
"Appearance Settings","Gestaltungseinstellungen"
"Authorize","Autorisieren"
"Authorize & capture","Autorisieren & erfassen"
"creativestyle Extensions","creativestyle Erweiterungen"
"Enable Instant Payment Notifications","Instant Payment Notifications aktiviert"
"Enable Pay with Amazon","Bezahlen mit Amazon aktiviert"
"Germany","Deutschland"
"http://www.creativestyle.net","http://www.creativestyle.de"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.de/leistungen/magento.html"
"Large (151 x 27 pixels)","Groß (151 x 27 Pixel)"
"Leave empty for access from any location","Leer lassen für den Zugriff von jedem beliebigen Standort"
"Marketplace","Marktplatz"
"Medium (126 x 24 pixels)","Mittel (126 x 24 Pixel)"
"Merchant ID","Händlernummer"
"North America","Nordamerika"
"Orange (recommended)","Orange (empfohlen)"
"Pay with Amazon","Bezahlen mit Amazon"
"Payment Action","Zahlungsvorgang"
"Please note that the total amount of the order will be charged at order placement.","Bitte beachten Sie dass der komplette Betrag bei Bestellung belastet wird."
"Sandbox Mode","Sandbox-Modus"
"Secret Access Key","Secret Access Key"
"Settings","Einstellungen"
"Tan","Beige"
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Diese Funktion erfordert die Installation eines gültigen SSL-Zertifikats auf Ihrem Server. Achten Sie darauf, dass das SSL-Zertifikat von einer vertrauenswürdigen Zertifizierungsstelle ausgestellt wird. Selbst signierte Zertifikate sind nicht gestattet."
"United Kingdom","Vereinigtes Königreich"
"United States","Vereinigte Staaten"
"Visit <a href=""%s"" target=""_blank"">%s</a> to get more information.","Besuchen Sie <a href=""%s"" target=""_blank"">%s</a> um mehr Informationen zu erhalten."
"X-Large (173 x 27 pixels)","Sehr groß (173 x 27 Pixel)"
